# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
20/11/2019 00:00:15,Class A,219765000,56.697748,8.219838,Engaged in fishing,0.0,0.1,,161,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
20/11/2019 00:00:25,Class A,219765000,56.697758,8.219847,Engaged in fishing,0.0,0.1,,162,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
20/11/2019 00:00:35,Class A,219765000,56.697755,8.219842,Engaged in fishing,0.0,0.1,,162,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
20/11/2019 00:00:45,Class A,219765000,56.697752,8.219830,Engaged in fishing,0.0,0.1,,162,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
20/11/2019 00:00:54,Class A,219765000,56.697745,8.219822,Engaged in fishing,0.0,0.1,,162,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
20/11/2019 00:01:15,Class A,219765000,56.697738,8.219813,Engaged in fishing,0.0,0.1,,161,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
20/11/2019 00:01:25,Class A,219765000,56.697750,8.219837,Engaged in fishing,0.0,0.1,,161,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
20/11/2019 00:01:35,Class A,219765000,56.697753,8.219840,Engaged in fishing,0.0,0.0,,161,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
20/11/2019 00:01:46,Class A,219765000,56.697755,8.219843,Engaged in fishing,0.0,0.1,,161,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
20/11/2019 00:01:55,Class A,219765000,56.697755,8.219845,Engaged in fishing,0.0,0.0,,161,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
20/11/2019 00:02:15,Class A,219765000,56.697723,8.219880,Engaged in fishing,0.0,0.1,,161,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
20/11/2019 00:02:25,Class A,219765000,56.697718,8.219877,Engaged in fishing,0.0,0.1,,161,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
20/11/2019 00:02:35,Class A,219765000,56.697700,8.219855,Engaged in fishing,0.0,0.1,,161,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
20/11/2019 00:02:46,Class A,219765000,56.697698,8.219848,Engaged in fishing,0.0,0.1,,161,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
20/11/2019 00:02:55,Class A,219765000,56.697700,8.219833,Engaged in fishing,0.0,0.0,,161,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
20/11/2019 00:03:15,Class A,219765000,56.697692,8.219832,Engaged in fishing,0.0,0.1,,162,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
